Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
2,3,0,0,0,0,0,0,0,0,SAMPDORIA,home,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,FIORENTINA,2004-05,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,FIORENTINA,away,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,SAMPDORIA,2004-05,0,0,0,0,0,0,0,0
1,2,6,2,0,0,0,0,0,0,PARMA,home,0,0,10,5,0,0,0,0,0,0,17,16,0,1,4,2,2,0,0,1,0,15,11,13,12,2,7,0,0,INTER,2004-05,21,10,10,6,11,4,0,0
2,1,2,6,0,0,0,0,0,0,INTER,away,0,0,5,10,0,0,0,0,0,0,16,17,1,0,4,2,2,0,0,0,1,11,15,12,13,7,2,0,0,PARMA,2004-05,10,21,6,10,4,11,0,0
4,3,2,3,0,0,0,0,0,0,CAGLIARI,home,0,0,4,3,0,0,0,0,0,1,13,26,3,4,4,3,1,0,0,0,0,27,17,17,26,3,8,0,0,LECCE,2004-05,17,6,6,2,11,4,0,0
3,4,3,2,0,0,0,0,0,0,LECCE,away,0,0,3,4,0,0,0,0,1,0,26,13,4,3,4,1,3,0,0,0,0,17,27,26,17,8,3,0,0,CAGLIARI,2004-05,6,17,2,6,4,11,0,0
1,1,9,2,0,0,0,0,0,0,ATALANTA,home,0,0,6,2,0,0,1,0,0,1,11,24,4,1,4,1,1,0,0,0,1,5,3,2,1,2,3,0,0,LIVORNO,2004-05,8,7,4,3,4,4,0,0
1,1,2,9,0,0,0,0,0,0,LIVORNO,away,0,0,2,6,0,0,0,1,1,0,24,11,1,4,4,1,1,0,0,1,0,3,5,1,2,3,2,0,0,ATALANTA,2004-05,7,8,3,4,4,4,0,0
1,2,5,0,0,0,0,0,0,0,CHIEVOVERONA,home,0,0,3,6,0,0,0,0,0,0,12,28,3,0,4,0,0,0,0,0,0,11,6,16,10,0,5,0,1,MESSINA,2004-05,11,3,6,3,5,0,0,0
2,1,0,5,0,0,0,0,0,0,MESSINA,away,0,0,6,3,0,0,0,0,0,0,28,12,0,3,4,0,0,0,0,0,0,6,11,10,16,5,0,1,0,CHIEVOVERONA,2004-05,3,11,3,6,0,5,0,0
