Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Avversaria,Campo,Corner,Corner avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario
0,2,1,0,UDINESE,home,12,3,,,,,9,13,3,4,4,0,0,0,0,5,4,8,3,4,6,0,0,NAPOLI,2009-10,14,10,9,6,5,4,0,0
2,0,0,1,NAPOLI,away,3,12,,,,,13,9,4,3,4,0,0,0,0,4,5,3,8,6,4,0,0,UDINESE,2009-10,10,14,6,9,4,5,0,0
0,2,2,1,LIVORNO,home,1,9,,,,,10,14,3,1,4,2,0,1,0,15,17,21,19,8,2,0,0,JUVENTUS,2009-10,13,13,8,5,5,8,0,0
2,0,1,2,JUVENTUS,away,9,1,,,,,14,10,1,3,4,0,2,0,1,17,15,19,21,2,8,0,0,LIVORNO,2009-10,13,13,5,8,8,5,0,0
1,2,8,0,ATALANTA,home,2,4,,,,,13,5,5,1,4,4,1,1,0,15,22,17,11,2,3,1,0,BARI,2009-10,13,8,5,5,8,3,0,0
2,1,0,8,BARI,away,4,2,,,,,5,13,1,5,4,1,4,0,1,22,15,11,17,3,2,0,1,ATALANTA,2009-10,8,13,5,5,3,8,0,0
2,3,4,2,INTER,home,4,4,,,,,19,16,1,1,4,1,2,1,0,15,16,8,6,3,3,1,0,CAGLIARI,2009-10,12,12,7,7,5,5,0,0
3,2,2,4,CAGLIARI,away,4,4,,,,,16,19,1,1,4,2,1,0,1,16,15,6,8,3,3,0,1,INTER,2009-10,12,12,7,7,5,5,0,0
3,1,3,1,LAZIO,home,6,4,,,,,12,28,3,0,4,1,1,1,0,14,20,14,10,4,4,0,0,CATANIA,2009-10,11,13,5,8,6,5,0,0
1,3,1,3,CATANIA,away,4,6,,,,,28,12,0,3,4,1,1,0,1,20,14,10,14,4,4,0,0,LAZIO,2009-10,13,11,8,5,5,6,0,0
2,3,2,0,GENOA,home,2,8,,,,,13,20,2,1,4,3,1,0,0,8,6,10,3,3,3,1,2,CHIEVOVERONA,2009-10,6,8,0,4,6,4,0,0
3,2,0,2,CHIEVOVERONA,away,8,2,,,,,20,13,1,2,4,1,3,0,0,6,8,3,10,3,3,2,1,GENOA,2009-10,8,6,4,0,4,6,0,0
2,3,2,0,BOLOGNA,home,13,3,,,,,11,9,1,5,4,1,0,2,0,1,2,6,0,1,3,0,0,MILAN,2009-10,13,3,7,2,6,1,0,0
3,2,0,2,MILAN,away,3,13,,,,,9,11,5,1,4,0,1,0,2,2,1,0,6,3,1,0,0,BOLOGNA,2009-10,3,13,2,7,1,6,0,0
