Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Possesso palla,Possesso palla avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri fuori su azione da palla inattiva,Tiri fuori su azione da palla inattiva avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario,Tiri in porta su azione da palla inattiva,Tiri in porta su azione da palla inattiva avversario
4,1,3,1,1,1,2,2,12,5,GENOA,away,3,0,2,1,3,4,0,1,0,0,21,23,2,1,4,2,0,16,16,9,4,1,0,17,26,23,18,0,3,45%,55%,1,0,JUVENTUS,2015-16,12,5,7,5,2,1,1,0,5,0,4,0,1,0,0,0
2,3,4,2,16,7,3,1,8,7,SASSUOLO,home,3,7,11,3,8,0,0,0,0,0,13,14,3,3,4,2,2,6,12,13,7,0,0,9,4,7,10,2,5,63%,37%,0,0,ROMA,2015-16,16,7,9,3,0,0,0,0,7,4,5,3,0,0,0,0
3,2,2,4,7,16,1,3,7,8,ROMA,away,7,3,3,11,0,8,0,0,0,0,14,13,3,3,4,2,2,12,6,7,13,0,0,4,9,10,7,5,2,37%,63%,0,0,SASSUOLO,2015-16,7,16,3,9,0,0,0,0,4,7,3,5,0,0,0,0
2,3,1,0,12,4,2,3,23,18,SAMPDORIA,home,1,0,7,7,14,4,0,0,0,0,9,9,0,2,4,2,0,16,7,12,7,0,0,23,26,21,7,6,6,51%,49%,0,0,TORINO,2015-16,16,10,7,4,0,1,1,1,9,6,7,3,0,0,2,1
3,2,0,1,4,12,3,2,18,23,TORINO,away,0,1,7,7,4,14,0,0,0,0,9,9,2,0,4,0,2,7,16,7,12,0,0,26,23,7,21,6,6,49%,51%,0,0,SAMPDORIA,2015-16,10,16,4,7,1,0,1,1,6,9,3,7,0,0,1,2
3,4,0,0,7,4,12,8,12,17,FIORENTINA,home,0,0,4,3,9,5,0,0,0,0,14,20,5,4,4,0,1,20,15,5,3,0,0,25,34,14,15,1,2,43%,57%,0,0,CARPI,2015-16,9,8,7,6,0,0,1,1,2,2,2,1,0,0,0,0
4,3,0,0,4,7,8,12,17,12,CARPI,away,0,0,3,4,5,9,0,0,0,0,20,14,4,5,4,1,0,15,20,3,5,0,0,34,25,15,14,2,1,57%,43%,0,0,FIORENTINA,2015-16,8,9,6,7,0,0,1,1,2,2,1,2,0,0,0,0
1,2,3,1,6,7,11,1,6,2,LAZIO,home,3,1,7,1,6,4,0,0,0,0,13,11,1,2,4,5,0,9,17,10,3,0,1,24,36,26,22,1,5,62%,38%,0,0,NAPOLI,2015-16,17,7,7,5,1,1,0,0,10,2,6,2,0,0,0,1
2,1,1,3,7,6,1,11,2,6,NAPOLI,away,1,3,1,7,4,6,0,0,0,0,11,13,2,1,4,0,5,17,9,3,10,1,0,36,24,22,26,5,1,38%,62%,0,0,LAZIO,2015-16,7,17,5,7,1,1,0,0,2,10,2,6,0,0,1,0
4,3,2,3,7,8,8,4,7,8,MILAN,home,1,1,7,1,10,4,1,0,0,0,19,21,0,0,5,2,3,23,28,7,7,1,0,23,23,23,25,1,2,47%,53%,0,0,UDINESE,2015-16,10,8,5,4,0,1,2,0,5,4,4,3,0,1,1,1
3,4,3,2,8,7,4,8,8,7,UDINESE,away,1,1,1,7,4,10,0,1,0,0,21,19,0,0,5,3,2,28,23,7,7,0,1,23,23,25,23,2,1,53%,47%,0,0,MILAN,2015-16,8,10,4,5,1,0,0,2,4,5,3,4,1,0,1,1
