Ammonizioni,Ammonizioni avversario,Assist Totali,Assist Totali avversario,Attacchi a destra,Attacchi a destra avversario,Attacchi a sinistra,Attacchi a sinistra avversario,Attacchi centrali,Attacchi centrali avversario,Avversaria,Campo,Contropiede,Contropiede avversario,Corner,Corner avversario,Cross,Cross avversario,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Falli subiti,Falli subiti avversario,Fuorigioco,Fuorigioco avversario,Giornata,Gol segnati,Gol subiti,Lanci lunghi,Lanci lunghi avversario,Occasioni da gol,Occasioni da gol avversario,Pali,Pali avversario,Palle perse,Palle perse avversario,Palle recuperate,Palle recuperate avversario,Parate,Parate avversario,Rigori,Rigori avversario,Squadra,Stagione,Tiri Totali,Tiri Totali avversario,Tiri fuori,Tiri fuori avversario,Tiri fuori da punizione,Tiri fuori da punizione avversario,Tiri in porta,Tiri in porta avversario,Tiri in porta da area,Tiri in porta da area avversario,Tiri in porta da punizione,Tiri in porta da punizione avversario
4,1,0,0,,,,,,,LAZIO,home,,,6,5,,,0,0,0,0,11,20,4,4,3,0,1,,,,,0,0,6,16,11,6,4,2,0,1,CHIEVOVERONA,2006-07,6,5,4,0,,,2,5,0,0,,
1,4,0,0,,,,,,,CHIEVOVERONA,away,,,5,6,,,0,0,0,0,20,11,4,4,3,1,0,,,,,0,0,16,6,6,11,2,4,1,0,LAZIO,2006-07,5,6,0,4,,,5,2,0,0,,
2,5,4,2,,,,,,,PARMA,home,,,7,5,,,0,0,1,0,27,18,7,1,3,1,0,,,,,0,1,6,5,4,2,4,4,0,0,FIORENTINA,2006-07,8,12,3,7,,,5,5,0,0,,
5,2,2,4,,,,,,,FIORENTINA,away,,,5,7,,,0,0,0,1,18,27,1,7,3,0,1,,,,,1,0,5,6,2,4,4,4,0,0,PARMA,2006-07,12,8,7,3,,,5,5,0,0,,
6,3,0,1,,,,,,,REGGINA,home,,,0,5,,,0,0,0,0,13,17,1,3,3,2,0,,,,,0,1,7,6,3,7,3,1,0,0,MESSINA,2006-07,7,13,4,9,,,3,4,0,0,,
3,6,1,0,,,,,,,MESSINA,away,,,5,0,,,0,0,0,0,17,13,3,1,3,0,2,,,,,1,0,6,7,7,3,1,3,0,0,REGGINA,2006-07,13,7,9,4,,,4,3,0,0,,
1,2,6,3,,,,,,,ASCOLI,home,,,5,1,,,0,0,0,0,9,12,3,2,3,1,0,,,,,2,1,15,17,14,18,6,9,0,0,MILAN,2006-07,23,15,11,8,,,12,7,0,0,,
2,1,3,6,,,,,,,MILAN,away,,,1,5,,,0,0,0,0,12,9,2,3,3,0,1,,,,,1,2,17,15,18,14,9,6,0,0,ASCOLI,2006-07,15,23,8,11,,,7,12,0,0,,
2,3,4,0,,,,,,,CATANIA,home,,,8,8,,,1,0,0,0,13,25,2,2,3,5,3,,,,,0,0,13,10,22,8,2,2,1,0,PALERMO,2006-07,12,11,5,5,,,7,6,0,0,,
3,2,0,4,,,,,,,PALERMO,away,,,8,8,,,0,1,0,0,25,13,2,2,3,3,5,,,,,0,0,10,13,8,22,2,2,0,1,CATANIA,2006-07,11,12,5,5,,,6,7,0,0,,
3,1,0,3,,,,,,,INTER,home,,,8,8,,,0,1,0,0,21,18,6,3,3,0,1,,,,,0,1,8,11,11,8,5,7,0,1,ROMA,2006-07,10,9,3,2,,,7,7,0,0,,
1,3,3,0,,,,,,,ROMA,away,,,8,8,,,1,0,0,0,18,21,3,6,3,1,0,,,,,1,0,11,8,8,11,7,5,1,0,INTER,2006-07,9,10,2,3,,,7,7,0,0,,
4,2,1,2,,,,,,,UDINESE,home,,,8,2,,,0,0,0,0,19,15,4,3,3,3,3,,,,,1,0,11,9,7,8,5,5,0,0,SAMPDORIA,2006-07,12,11,3,3,,,9,8,0,0,,
2,4,2,1,,,,,,,SAMPDORIA,away,,,2,8,,,0,0,0,0,15,19,3,4,3,3,3,,,,,0,1,9,11,8,7,5,5,0,0,UDINESE,2006-07,11,12,3,3,,,8,9,0,0,,
1,3,0,1,,,,,,,SIENA,home,,,8,2,,,0,0,0,0,18,15,4,3,3,1,2,,,,,0,0,10,10,10,9,4,3,0,0,TORINO,2006-07,9,11,5,5,,,4,6,0,0,,
3,1,1,0,,,,,,,TORINO,away,,,2,8,,,0,0,0,0,15,18,3,4,3,2,1,,,,,0,0,10,10,9,10,3,4,0,0,SIENA,2006-07,11,9,5,5,,,6,4,0,0,,
2,3,4,7,0,0,0,0,0,0,MILAN,home,0,0,4,5,0,0,0,0,0,0,17,16,1,3,4,0,0,0,0,0,0,0,0,8,7,5,4,3,1,0,0,LIVORNO,2006-07,6,10,5,7,0,0,1,3,0,0,0,0
3,2,7,4,0,0,0,0,0,0,LIVORNO,away,0,0,5,4,0,0,0,0,0,0,16,17,3,1,4,0,0,0,0,0,0,0,0,7,8,4,5,1,3,0,0,MILAN,2006-07,10,6,7,5,0,0,3,1,0,0,0,0
3,3,3,1,6,6,5,4,16,6,MESSINA,home,0,1,8,3,28,9,1,1,0,0,27,15,3,2,4,2,2,9,11,0,0,0,0,10,15,11,6,2,3,0,0,CATANIA,2006-07,11,4,7,0,0,2,4,4,0,0,2,0
3,3,1,3,6,6,4,5,6,16,CATANIA,away,1,0,3,8,9,28,1,1,0,0,15,27,2,3,4,2,2,11,9,0,0,0,0,15,10,6,11,3,2,0,0,MESSINA,2006-07,4,11,0,7,2,0,4,4,0,0,0,2
4,2,2,2,0,0,0,0,0,0,SAMPDORIA,home,0,0,9,8,0,0,0,0,0,1,8,19,4,5,4,1,1,0,0,0,0,0,0,8,9,13,11,4,7,0,0,ASCOLI,2006-07,18,8,10,3,0,0,8,5,0,0,0,0
2,4,2,2,0,0,0,0,0,0,ASCOLI,away,0,0,8,9,0,0,0,0,1,0,19,8,5,4,4,1,1,0,0,0,0,0,0,9,8,11,13,7,4,0,0,SAMPDORIA,2006-07,8,18,3,10,0,0,5,8,0,0,0,0
3,3,4,6,0,0,0,0,0,0,PALERMO,home,0,0,3,3,0,0,0,1,0,0,18,15,1,1,4,2,0,0,0,0,0,0,0,9,8,6,3,5,3,0,1,EMPOLI,2006-07,9,11,4,6,0,0,5,5,0,0,0,0
3,3,6,4,0,0,0,0,0,0,EMPOLI,away,0,0,3,3,0,0,1,0,0,0,15,18,1,1,4,0,2,0,0,0,0,0,0,8,9,3,6,3,5,1,0,PALERMO,2006-07,11,9,6,4,0,0,5,5,0,0,0,0
2,0,3,0,0,0,0,0,0,0,CHIEVOVERONA,home,0,0,8,5,0,0,0,0,0,0,14,18,3,3,4,4,3,0,0,0,0,0,0,16,8,10,12,4,5,0,1,INTER,2006-07,12,10,3,3,0,0,9,7,0,0,0,0
0,2,0,3,0,0,0,0,0,0,INTER,away,0,0,5,8,0,0,0,0,0,0,18,14,3,3,4,3,4,0,0,0,0,0,0,8,16,12,10,5,4,1,0,CHIEVOVERONA,2006-07,10,12,3,3,0,0,7,9,0,0,0,0
2,4,2,3,0,0,0,0,0,0,ATALANTA,home,0,0,5,3,0,0,0,0,0,0,22,24,3,4,4,1,0,0,0,0,0,1,0,21,17,12,16,4,7,0,0,LAZIO,2006-07,13,7,4,3,0,0,9,4,0,0,0,0
4,2,3,2,0,0,0,0,0,0,LAZIO,away,0,0,3,5,0,0,0,0,0,0,24,22,4,3,4,0,1,0,0,0,0,0,1,17,21,16,12,7,4,0,0,ATALANTA,2006-07,7,13,3,4,0,0,4,9,0,0,0,0
3,3,5,9,0,0,0,0,0,0,ROMA,home,0,0,3,4,0,0,0,0,0,0,19,32,3,9,4,0,4,0,0,0,0,0,0,15,21,21,15,6,3,0,0,PARMA,2006-07,12,18,9,8,0,0,3,10,0,0,0,0
