Ammonizioni,Ammonizioni avversario,Avversaria,Campo,Doppie ammonizioni,Doppie ammonizioni avversario,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
2,2,PARMA,home,,,,,14,2,1,BOLOGNA,2002-03
2,2,BOLOGNA,away,,,,,14,1,2,PARMA,2002-03
0,1,CHIEVOVERONA,home,,,,,14,0,3,PIACENZA,2002-03
1,0,PIACENZA,away,,,,,14,3,0,CHIEVOVERONA,2002-03
2,3,PERUGIA,home,,,,,14,3,1,BRESCIA,2002-03
3,2,BRESCIA,away,,,,,14,1,3,PERUGIA,2002-03
2,1,MILAN,home,,,,,14,1,2,COMO,2002-03
1,2,COMO,away,,,,,14,2,1,MILAN,2002-03
2,4,MODENA,home,,,,,14,1,0,EMPOLI,2002-03
4,2,EMPOLI,away,,,,,14,0,1,MODENA,2002-03
2,2,ATALANTA,home,,,,,14,1,0,INTER,2002-03
2,2,INTER,away,,,,,14,0,1,ATALANTA,2002-03
1,3,LAZIO,home,,,,,14,1,2,JUVENTUS,2002-03
3,1,JUVENTUS,away,,,,,14,2,1,LAZIO,2002-03
2,2,REGGINA,home,,,,,14,3,0,ROMA,2002-03
2,2,ROMA,away,,,,,14,0,3,REGGINA,2002-03
2,3,TORINO,home,,,,,14,1,1,UDINESE,2002-03
3,2,UDINESE,away,,,,,14,1,1,TORINO,2002-03
3,3,UDINESE,home,1,0,,,15,0,1,MODENA,2002-03
3,3,MODENA,away,0,1,,,15,1,0,UDINESE,2002-03
0,2,ROMA,home,0,0,,,15,0,1,TORINO,2002-03
2,0,TORINO,away,0,0,,,15,1,0,ROMA,2002-03
0,1,EMPOLI,home,0,0,,,15,2,2,ATALANTA,2002-03
1,0,ATALANTA,away,0,0,,,15,2,2,EMPOLI,2002-03
2,3,COMO,home,0,0,,,15,2,0,CHIEVOVERONA,2002-03
3,2,CHIEVOVERONA,away,0,0,,,15,0,2,COMO,2002-03
4,1,BOLOGNA,home,0,1,,,15,1,1,LAZIO,2002-03
1,4,LAZIO,away,1,0,,,15,1,1,BOLOGNA,2002-03
1,2,BRESCIA,home,0,0,,,15,0,0,MILAN,2002-03
2,1,MILAN,away,0,0,,,15,0,0,BRESCIA,2002-03
1,1,INTER,home,0,0,,,15,1,2,PARMA,2002-03
1,1,PARMA,away,0,0,,,15,2,1,INTER,2002-03
2,2,JUVENTUS,home,0,0,,,15,0,1,PERUGIA,2002-03
2,2,PERUGIA,away,0,0,,,15,1,0,JUVENTUS,2002-03
3,2,PIACENZA,home,0,0,,,15,3,1,REGGINA,2002-03
2,3,REGGINA,away,0,0,,,15,1,3,PIACENZA,2002-03
2,2,LAZIO,home,0,0,,,16,0,0,BRESCIA,2002-03
2,2,BRESCIA,away,0,0,,,16,0,0,LAZIO,2002-03
1,3,TORINO,home,0,0,,,16,1,1,EMPOLI,2002-03
3,1,EMPOLI,away,0,0,,,16,1,1,TORINO,2002-03
