Avversaria,Campo,Espulsioni,Espulsioni avversario,Giornata,Gol segnati,Gol subiti,Squadra,Stagione
FOGGIA,away,1,0,15,3,1,INTER,1992-93
BRESCIA,home,0,2,15,2,0,LAZIO,1992-93
LAZIO,away,2,0,15,0,2,BRESCIA,1992-93
CAGLIARI,home,0,0,15,1,0,MILAN,1992-93
MILAN,away,0,0,15,0,1,CAGLIARI,1992-93
GENOA,home,0,0,15,1,0,PARMA,1992-93
PARMA,away,0,0,15,0,1,GENOA,1992-93
ANCONA,home,0,0,15,4,3,PESCARA,1992-93
PESCARA,away,0,0,15,3,4,ANCONA,1992-93
JUVENTUS,home,0,0,15,1,1,SAMPDORIA,1992-93
SAMPDORIA,away,0,0,15,1,1,JUVENTUS,1992-93
NAPOLI,home,0,1,15,0,1,TORINO,1992-93
TORINO,away,1,0,15,1,0,NAPOLI,1992-93
FIORENTINA,home,0,1,15,4,0,UDINESE,1992-93
UDINESE,away,1,0,15,0,4,FIORENTINA,1992-93
UDINESE,home,0,0,16,1,0,ANCONA,1992-93
ANCONA,away,0,0,16,0,1,UDINESE,1992-93
MILAN,home,1,0,16,0,1,BRESCIA,1992-93
BRESCIA,away,0,1,16,1,0,MILAN,1992-93
FOGGIA,home,0,2,16,1,1,CAGLIARI,1992-93
CAGLIARI,away,2,0,16,1,1,FOGGIA,1992-93
TORINO,home,0,0,16,0,0,FIORENTINA,1992-93
FIORENTINA,away,0,0,16,0,0,TORINO,1992-93
ATALANTA,home,0,0,16,1,0,GENOA,1992-93
GENOA,away,0,0,16,0,1,ATALANTA,1992-93
PARMA,home,0,0,16,2,1,INTER,1992-93
INTER,away,0,0,16,1,2,PARMA,1992-93
PESCARA,home,0,0,16,2,1,JUVENTUS,1992-93
JUVENTUS,away,0,0,16,1,2,PESCARA,1992-93
LAZIO,home,0,0,16,3,1,NAPOLI,1992-93
NAPOLI,away,0,0,16,1,3,LAZIO,1992-93
SAMPDORIA,home,0,0,16,0,0,ROMA,1992-93
ROMA,away,0,0,16,0,0,SAMPDORIA,1992-93
ANCONA,home,0,0,17,2,1,ATALANTA,1992-93
ATALANTA,away,0,0,17,1,2,ANCONA,1992-93
FIORENTINA,home,0,1,17,1,0,FOGGIA,1992-93
FOGGIA,away,1,0,17,0,1,FIORENTINA,1992-93
JUVENTUS,home,0,0,17,1,1,LAZIO,1992-93
LAZIO,away,0,0,17,1,1,JUVENTUS,1992-93
GENOA,home,0,0,17,1,0,MILAN,1992-93
MILAN,away,0,0,17,0,1,GENOA,1992-93
NAPOLI,home,1,0,17,1,1,PARMA,1992-93
PARMA,away,0,1,17,1,1,NAPOLI,1992-93
