"day","time","technology","user","lot_runid","elapsed"
"Fri","15:00","Dynamic Cubes","User 1",3,6.9
"Mon","14:00","Dynamic Cubes","User 2",3,5.6
"Tue","09:00","Query Rewrite","User 3",2,11.5
"Mon","10:00","Query Rewrite","User 2",2,15.3
"Wed","14:00","Query Rewrite","User 3",3,12.7
"Fri","11:00","Query Rewrite","User 2",1,13.7
"Tue","14:00","Dynamic Cubes","User 2",3,22.8
"Thu","09:00","Query Rewrite","User 2",3,11.8
"Tue","14:00","Query Rewrite","User 3",3,9.6
"Fri","14:00","Query Rewrite","User 3",3,11
"Fri","11:00","Dynamic Cubes","User 2",2,7.8
"Fri","16:00","Dynamic Cubes","User 3",3,43.4
"Fri","10:00","Query Rewrite","User 2",3,13.4
"Tue","10:00","Query Rewrite","User 3",3,15.3
"Fri","16:00","Query Rewrite","User 2",3,11.7
"Wed","09:00","Query Rewrite","User 1",3,11.9
"Fri","11:00","Dynamic Cubes","User 2",3,3.4
"Thu","12:00","Query Rewrite","User 3",3,11.5
"Tue","09:00","Query Rewrite","User 2",3,11.1
"Mon","10:00","Query Rewrite","User 2",3,14
"Fri","11:00","Query Rewrite","User 1",2,9.4
"Mon","10:00","Dynamic Cubes","User 3",2,3.1
"Thu","16:00","Query Rewrite","User 1",3,11.5
"Wed","10:00","Dynamic Cubes","User 1",3,6.2
"Fri","11:00","Query Rewrite","User 1",3,10.2
"Mon","10:00","Dynamic Cubes","User 2",3,6.6
